emoji,text_name,unicode
🐄,cow,1F404
🐷,pig face,1F437
🐖,pig,1F416
🐗,boar,1F417
🐽,pig nose,1F43D
🐏,ram,1F40F
🐑,ewe,1F411
🐐,goat,1F410
🐪,camel,1F42A
🐫,two-hump camel,1F42B
🦙,llama,1F999
🦒,giraffe,1F992
🐘,elephant,1F418
🦣,mammoth,1F9A3
🦏,rhinoceros,1F98F
🦛,hippopotamus,1F99B
🐭,mouse face,1F42D
🐁,mouse,1F401
🐀,rat,1F400
🐹,hamster,1F439
🐰,rabbit face,1F430
🐇,rabbit,1F407
🐿️,chipmunk,1F43F FE0F
🐿,chipmunk,1F43F
🦫,beaver,1F9AB
🦔,hedgehog,1F994
🦇,bat,1F987
🐻,bear,1F43B
🐻‍❄️,polar bear,1F43B 200D 2744 FE0F
🐻‍❄,polar bear,1F43B 200D 2744
🐨,koala,1F428
🐼,panda,1F43C
🦥,sloth,1F9A5
🦦,otter,1F9A6
🦨,skunk,1F9A8
🦘,kangaroo,1F998
🦡,badger,1F9A1
🐾,paw prints,1F43E
🦃,turkey,1F983
🐔,chicken,1F414
🐓,rooster,1F413
🐣,hatching chick,1F423
🐤,baby chick,1F424
🐥,front-facing baby chick,1F425
🐦,bird,1F426
🐧,penguin,1F427
🕊️,dove,1F54A FE0F
🕊,dove,1F54A
🦅,eagle,1F985
🦆,duck,1F986
🦢,swan,1F9A2
🦉,owl,1F989
🦤,dodo,1F9A4
🪶,feather,1FAB6
🦩,flamingo,1F9A9
🦚,peacock,1F99A
🦜,parrot,1F99C
🪽,wing,1FABD
🐦‍⬛,black bird,1F426 200D 2B1B
🪿,goose,1FABF
🐸,frog,1F438
🐊,crocodile,1F40A
🐢,turtle,1F422
🦎,lizard,1F98E
🐍,snake,1F40D
🐲,dragon face,1F432
🐉,dragon,1F409
🦕,sauropod,1F995
🦖,T-Rex,1F996
🐳,spouting whale,1F433
🐋,whale,1F40B
🐬,dolphin,1F42C
🦭,seal,1F9AD
🐟,fish,1F41F
🐠,tropical fish,1F420
🐡,blowfish,1F421
🦈,shark,1F988
🐙,octopus,1F419
🐚,spiral shell,1F41A
🪸,coral,1FAB8
🪼,jellyfish,1FABC
🐌,snail,1F40C
🦋,butterfly,1F98B
🐛,bug,1F41B
🐜,ant,1F41C
🐝,honeybee,1F41D
🪲,beetle,1FAB2
🐞,lady beetle,1F41E
🦗,cricket,1F997
🪳,cockroach,1FAB3
🕷️,spider,1F577 FE0F
🕷,spider,1F577
🕸️,spider web,1F578 FE0F
🕸,spider web,1F578
🦂,scorpion,1F982
🦟,mosquito,1F99F
🪰,fly,1FAB0
🪱,worm,1FAB1
🦠,microbe,1F9A0
💐,bouquet,1F490
🌸,cherry blossom,1F338
💮,white flower,1F4AE
🪷,lotus,1FAB7
🏵️,rosette,1F3F5 FE0F
🏵,rosette,1F3F5
🌹,rose,1F339
🥀,wilted flower,1F940
🌺,hibiscus,1F33A
🌻,sunflower,1F33B
🌼,blossom,1F33C
🌷,tulip,1F337
🪻,hyacinth,1FABB
🌱,seedling,1F331
🪴,potted plant,1FAB4
🌲,evergreen tree,1F332
🌳,deciduous tree,1F333
🌴,palm tree,1F334
🌵,cactus,1F335
🌾,sheaf of rice,1F33E
🌿,herb,1F33F
☘️,shamrock,2618 FE0F
☘,shamrock,2618
🍀,four leaf clover,1F340
🍁,maple leaf,1F341
🍂,fallen leaf,1F342
🍃,leaf fluttering in wind,1F343
🪹,empty nest,1FAB9
🪺,nest with eggs,1FABA
🍄,mushroom,1F344
🏻,light skin tone,1F3FB
🏼,medium-light skin tone,1F3FC
🏽,medium skin tone,1F3FD
🏾,medium-dark skin tone,1F3FE
🏿,dark skin tone,1F3FF
🦰,red hair,1F9B0
🦱,curly hair,1F9B1
🦳,white hair,1F9B3
🦲,bald,1F9B2
🏁,chequered flag,1F3C1
🚩,triangular flag,1F6A9
🎌,crossed flags,1F38C
🏴,black flag,1F3F4
🏳️,white flag,1F3F3 FE0F
🏳,white flag,1F3F3
🏳️‍🌈,rainbow flag,1F3F3 FE0F 200D 1F308
🏳‍🌈,rainbow flag,1F3F3 200D 1F308
🏳️‍⚧️,transgender flag,1F3F3 FE0F 200D 26A7 FE0F
🏳‍⚧️,transgender flag,1F3F3 200D 26A7 FE0F
🏳️‍⚧,transgender flag,1F3F3 FE0F 200D 26A7
🏳‍⚧,transgender flag,1F3F3 200D 26A7
🏴‍☠️,pirate flag,1F3F4 200D 2620 FE0F
🏴‍☠,pirate flag,1F3F4 200D 2620
🇦🇨,flag Ascension Island,1F1E6 1F1E8
🇦🇩,flag Andorra,1F1E6 1F1E9
🇦🇪,flag United Arab Emirates,1F1E6 1F1EA
🇦🇫,flag Afghanistan,1F1E6 1F1EB
🇦🇬,flag Antigua  Barbuda,1F1E6 1F1EC
🇦🇮,flag Anguilla,1F1E6 1F1EE
🇦🇱,flag Albania,1F1E6 1F1F1
🇦🇲,flag Armenia,1F1E6 1F1F2
🇦🇴,flag Angola,1F1E6 1F1F4
🇦🇶,flag Antarctica,1F1E6 1F1F6
🇦🇷,flag Argentina,1F1E6 1F1F7
🇦🇸,flag American Samoa,1F1E6 1F1F8
🇦🇹,flag Austria,1F1E6 1F1F9
🇦🇺,flag Australia,1F1E6 1F1FA
🇦🇼,flag Aruba,1F1E6 1F1FC
🇦🇽,flag land Islands,1F1E6 1F1FD
🇦🇿,flag Azerbaijan,1F1E6 1F1FF
🇧🇦,flag Bosnia  Herzegovina,1F1E7 1F1E6
🇧🇧,flag Barbados,1F1E7 1F1E7
🇧🇩,flag Bangladesh,1F1E7 1F1E9
🇧🇪,flag Belgium,1F1E7 1F1EA
🇧🇫,flag Burkina Faso,1F1E7 1F1EB
🇧🇬,flag Bulgaria,1F1E7 1F1EC
🇧🇭,flag Bahrain,1F1E7 1F1ED
🇧🇮,flag Burundi,1F1E7 1F1EE
🇧🇯,flag Benin,1F1E7 1F1EF
🇧🇱,flag St Barthlemy,1F1E7 1F1F1
🇧🇲,flag Bermuda,1F1E7 1F1F2
🇧🇳,flag Brunei,1F1E7 1F1F3
🇧🇴,flag Bolivia,1F1E7 1F1F4
🇧🇶,flag Caribbean Netherlands,1F1E7 1F1F6
🇧🇷,flag Brazil,1F1E7 1F1F7
🇧🇸,flag Bahamas,1F1E7 1F1F8
🇧🇹,flag Bhutan,1F1E7 1F1F9
🇧🇻,flag Bouvet Island,1F1E7 1F1FB
🇧🇼,flag Botswana,1F1E7 1F1FC
🇧🇾,flag Belarus,1F1E7 1F1FE
🇧🇿,flag Belize,1F1E7 1F1FF
🇨🇦,flag Canada,1F1E8 1F1E6
🇨🇨,flag Cocos Keeling Islands,1F1E8 1F1E8
🇨🇩,flag Congo - Kinshasa,1F1E8 1F1E9
🇨🇫,flag Central African Republic,1F1E8 1F1EB
🇨🇬,flag Congo - Brazzaville,1F1E8 1F1EC
🇨🇭,flag Switzerland,1F1E8 1F1ED
🇨🇮,flag Cte dIvoire,1F1E8 1F1EE
🇨🇰,flag Cook Islands,1F1E8 1F1F0
🇨🇱,flag Chile,1F1E8 1F1F1
🇨🇲,flag Cameroon,1F1E8 1F1F2
🇨🇳,flag China,1F1E8 1F1F3
🇨🇴,flag Colombia,1F1E8 1F1F4
🇨🇵,flag Clipperton Island,1F1E8 1F1F5
🇨🇷,flag Costa Rica,1F1E8 1F1F7
🇨🇺,flag Cuba,1F1E8 1F1FA
🇨🇻,flag Cape Verde,1F1E8 1F1FB
🇨🇼,flag Curaao,1F1E8 1F1FC
🇨🇽,flag Christmas Island,1F1E8 1F1FD
🇨🇾,flag Cyprus,1F1E8 1F1FE
🇨🇿,flag Czechia,1F1E8 1F1FF
🇩🇪,flag Germany,1F1E9 1F1EA
🇩🇬,flag Diego Garcia,1F1E9 1F1EC
🇩🇯,flag Djibouti,1F1E9 1F1EF
🇩🇰,flag Denmark,1F1E9 1F1F0
🇩🇲,flag Dominica,1F1E9 1F1F2
🇩🇴,flag Dominican Republic,1F1E9 1F1F4
🇩🇿,flag Algeria,1F1E9 1F1FF
🇪🇦,flag Ceuta  Melilla,1F1EA 1F1E6
🇪🇨,flag Ecuador,1F1EA 1F1E8
🇪🇪,flag Estonia,1F1EA 1F1EA
🇪🇬,flag Egypt,1F1EA 1F1EC
🇪🇭,flag Western Sahara,1F1EA 1F1ED
🇪🇷,flag Eritrea,1F1EA 1F1F7
🇪🇸,flag Spain,1F1EA 1F1F8
🇪🇹,flag Ethiopia,1F1EA 1F1F9
🇪🇺,flag European Union,1F1EA 1F1FA
🇫🇮,flag Finland,1F1EB 1F1EE
🇫🇯,flag Fiji,1F1EB 1F1EF
🇫🇰,flag Falkland Islands,1F1EB 1F1F0
🇫🇲,flag Micronesia,1F1EB 1F1F2
🇫🇴,flag Faroe Islands,1F1EB 1F1F4
🇫🇷,flag France,1F1EB 1F1F7
🇬🇦,flag Gabon,1F1EC 1F1E6
🇬🇧,flag United Kingdom,1F1EC 1F1E7
🇬🇩,flag Grenada,1F1EC 1F1E9
🇬🇪,flag Georgia,1F1EC 1F1EA
🇬🇫,flag French Guiana,1F1EC 1F1EB
🇬🇬,flag Guernsey,1F1EC 1F1EC
🇬🇭,flag Ghana,1F1EC 1F1ED
🇬🇮,flag Gibraltar,1F1EC 1F1EE
🇬🇱,flag Greenland,1F1EC 1F1F1
🇬🇲,flag Gambia,1F1EC 1F1F2
🇬🇳,flag Guinea,1F1EC 1F1F3
🇬🇵,flag Guadeloupe,1F1EC 1F1F5
🇬🇶,flag Equatorial Guinea,1F1EC 1F1F6
🇬🇷,flag Greece,1F1EC 1F1F7
🇬🇸,flag South Georgia  South Sandwich Islands,1F1EC 1F1F8
🇬🇹,flag Guatemala,1F1EC 1F1F9
🇬🇺,flag Guam,1F1EC 1F1FA
🇬🇼,flag Guinea-Bissau,1F1EC 1F1FC
🇬🇾,flag Guyana,1F1EC 1F1FE
🇭🇰,flag Hong Kong SAR China,1F1ED 1F1F0
🇭🇲,flag Heard  McDonald Islands,1F1ED 1F1F2
🇭🇳,flag Honduras,1F1ED 1F1F3
🇭🇷,flag Croatia,1F1ED 1F1F7
🇭🇹,flag Haiti,1F1ED 1F1F9
🇭🇺,flag Hungary,1F1ED 1F1FA
🇮🇨,flag Canary Islands,1F1EE 1F1E8
🇮🇩,flag Indonesia,1F1EE 1F1E9
🇮🇪,flag Ireland,1F1EE 1F1EA
🇮🇱,flag Israel,1F1EE 1F1F1
🇮🇲,flag Isle of Man,1F1EE 1F1F2
🇮🇳,flag India,1F1EE 1F1F3
🇮🇴,flag British Indian Ocean Territory,1F1EE 1F1F4
🇮🇶,flag Iraq,1F1EE 1F1F6
🇮🇷,flag Iran,1F1EE 1F1F7
🇮🇸,flag Iceland,1F1EE 1F1F8
🇮🇹,flag Italy,1F1EE 1F1F9
🇯🇪,flag Jersey,1F1EF 1F1EA
🇯🇲,flag Jamaica,1F1EF 1F1F2
🇯🇴,flag Jordan,1F1EF 1F1F4
🇯🇵,flag Japan,1F1EF 1F1F5
🇰🇪,flag Kenya,1F1F0 1F1EA
🇰🇬,flag Kyrgyzstan,1F1F0 1F1EC
🇰🇭,flag Cambodia,1F1F0 1F1ED
🇰🇮,flag Kiribati,1F1F0 1F1EE
🇰🇲,flag Comoros,1F1F0 1F1F2
🇰🇳,flag St Kitts  Nevis,1F1F0 1F1F3
🇰🇵,flag North Korea,1F1F0 1F1F5
🇰🇷,flag South Korea,1F1F0 1F1F7
🇰🇼,flag Kuwait,1F1F0 1F1FC
🇰🇾,flag Cayman Islands,1F1F0 1F1FE
🇰🇿,flag Kazakhstan,1F1F0 1F1FF
🇱🇦,flag Laos,1F1F1 1F1E6
🇱🇧,flag Lebanon,1F1F1 1F1E7
🇱🇨,flag St Lucia,1F1F1 1F1E8
🇱🇮,flag Liechtenstein,1F1F1 1F1EE
🇱🇰,flag Sri Lanka,1F1F1 1F1F0
🇱🇷,flag Liberia,1F1F1 1F1F7
🇱🇸,flag Lesotho,1F1F1 1F1F8
🇱🇹,flag Lithuania,1F1F1 1F1F9
🇱🇺,flag Luxembourg,1F1F1 1F1FA
🇱🇻,flag Latvia,1F1F1 1F1FB
🇱🇾,flag Libya,1F1F1 1F1FE
🇲🇦,flag Morocco,1F1F2 1F1E6
🇲🇨,flag Monaco,1F1F2 1F1E8
🇲🇩,flag Moldova,1F1F2 1F1E9
🇲🇪,flag Montenegro,1F1F2 1F1EA
🇲🇫,flag St Martin,1F1F2 1F1EB
🇲🇬,flag Madagascar,1F1F2 1F1EC
🇲🇭,flag Marshall Islands,1F1F2 1F1ED
🇲🇰,flag North Macedonia,1F1F2 1F1F0
🇲🇱,flag Mali,1F1F2 1F1F1
🇲🇲,flag Myanmar Burma,1F1F2 1F1F2
🇲🇳,flag Mongolia,1F1F2 1F1F3
🇲🇴,flag Macao SAR China,1F1F2 1F1F4
🇲🇵,flag Northern Mariana Islands,1F1F2 1F1F5
🇲🇶,flag Martinique,1F1F2 1F1F6
🇲🇷,flag Mauritania,1F1F2 1F1F7
🇲🇸,flag Montserrat,1F1F2 1F1F8
🇲🇹,flag Malta,1F1F2 1F1F9
🇲🇺,flag Mauritius,1F1F2 1F1FA
🇲🇻,flag Maldives,1F1F2 1F1FB
🇲🇼,flag Malawi,1F1F2 1F1FC
🇲🇽,flag Mexico,1F1F2 1F1FD
🇲🇾,flag Malaysia,1F1F2 1F1FE
🇲🇿,flag Mozambique,1F1F2 1F1FF
🇳🇦,flag Namibia,1F1F3 1F1E6
🇳🇨,flag New Caledonia,1F1F3 1F1E8
🇳🇪,flag Niger,1F1F3 1F1EA
🇳🇫,flag Norfolk Island,1F1F3 1F1EB
🇳🇬,flag Nigeria,1F1F3 1F1EC
🇳🇮,flag Nicaragua,1F1F3 1F1EE
🇳🇱,flag Netherlands,1F1F3 1F1F1
🇳🇴,flag Norway,1F1F3 1F1F4
🇳🇵,flag Nepal,1F1F3 1F1F5
🇳🇷,flag Nauru,1F1F3 1F1F7
🇳🇺,flag Niue,1F1F3 1F1FA
🇳🇿,flag New Zealand,1F1F3 1F1FF
🇴🇲,flag Oman,1F1F4 1F1F2
🇵🇦,flag Panama,1F1F5 1F1E6
🇵🇪,flag Peru,1F1F5 1F1EA
🇵🇫,flag French Polynesia,1F1F5 1F1EB
🇵🇬,flag Papua New Guinea,1F1F5 1F1EC
🇵🇭,flag Philippines,1F1F5 1F1ED
🇵🇰,flag Pakistan,1F1F5 1F1F0
🇵🇱,flag Poland,1F1F5 1F1F1
🇵🇲,flag St Pierre  Miquelon,1F1F5 1F1F2
🇵🇳,flag Pitcairn Islands,1F1F5 1F1F3
🇵🇷,flag Puerto Rico,1F1F5 1F1F7
🇵🇸,flag Palestinian Territories,1F1F5 1F1F8
🇵🇹,flag Portugal,1F1F5 1F1F9
🇵🇼,flag Palau,1F1F5 1F1FC
🇵🇾,flag Paraguay,1F1F5 1F1FE
🇶🇦,flag Qatar,1F1F6 1F1E6
🇷🇪,flag Runion,1F1F7 1F1EA
🇷🇴,flag Romania,1F1F7 1F1F4
🇷🇸,flag Serbia,1F1F7 1F1F8
🇷🇺,flag Russia,1F1F7 1F1FA
🇷🇼,flag Rwanda,1F1F7 1F1FC
🇸🇦,flag Saudi Arabia,1F1F8 1F1E6
🇸🇧,flag Solomon Islands,1F1F8 1F1E7
🇸🇨,flag Seychelles,1F1F8 1F1E8
🇸🇩,flag Sudan,1F1F8 1F1E9
🇸🇪,flag Sweden,1F1F8 1F1EA
🇸🇬,flag Singapore,1F1F8 1F1EC
🇸🇭,flag St Helena,1F1F8 1F1ED
🇸🇮,flag Slovenia,1F1F8 1F1EE
🇸🇯,flag Svalbard  Jan Mayen,1F1F8 1F1EF
🇸🇰,flag Slovakia,1F1F8 1F1F0
🇸🇱,flag Sierra Leone,1F1F8 1F1F1
🇸🇲,flag San Marino,1F1F8 1F1F2
🇸🇳,flag Senegal,1F1F8 1F1F3
🇸🇴,flag Somalia,1F1F8 1F1F4
🇸🇷,flag Suriname,1F1F8 1F1F7
🇸🇸,flag South Sudan,1F1F8 1F1F8
🇸🇹,flag So Tom  Prncipe,1F1F8 1F1F9
🇸🇻,flag El Salvador,1F1F8 1F1FB
🇸🇽,flag Sint Maarten,1F1F8 1F1FD
🇸🇾,flag Syria,1F1F8 1F1FE
🇸🇿,flag Eswatini,1F1F8 1F1FF
🇹🇦,flag Tristan da Cunha,1F1F9 1F1E6
🇹🇨,flag Turks  Caicos Islands,1F1F9 1F1E8
🇹🇩,flag Chad,1F1F9 1F1E9
🇹🇫,flag French Southern Territories,1F1F9 1F1EB
🇹🇬,flag Togo,1F1F9 1F1EC
🇹🇭,flag Thailand,1F1F9 1F1ED
🇹🇯,flag Tajikistan,1F1F9 1F1EF
🇹🇰,flag Tokelau,1F1F9 1F1F0
🇹🇱,flag Timor-Leste,1F1F9 1F1F1
🇹🇲,flag Turkmenistan,1F1F9 1F1F2
🇹🇳,flag Tunisia,1F1F9 1F1F3
🇹🇴,flag Tonga,1F1F9 1F1F4
🇹🇷,flag Turkey,1F1F9 1F1F7
🇹🇹,flag Trinidad  Tobago,1F1F9 1F1F9
🇹🇻,flag Tuvalu,1F1F9 1F1FB
🇹🇼,flag Taiwan,1F1F9 1F1FC
🇹🇿,flag Tanzania,1F1F9 1F1FF
🇺🇦,flag Ukraine,1F1FA 1F1E6
🇺🇬,flag Uganda,1F1FA 1F1EC
🇺🇲,flag US Outlying Islands,1F1FA 1F1F2
🇺🇳,flag United Nations,1F1FA 1F1F3
🇺🇸,flag United States,1F1FA 1F1F8
🇺🇾,flag Uruguay,1F1FA 1F1FE
🇺🇿,flag Uzbekistan,1F1FA 1F1FF
🇻🇦,flag Vatican City,1F1FB 1F1E6
🇻🇨,flag St Vincent  Grenadines,1F1FB 1F1E8
🇻🇪,flag Venezuela,1F1FB 1F1EA
🇻🇬,flag British Virgin Islands,1F1FB 1F1EC
🇻🇮,flag US Virgin Islands,1F1FB 1F1EE
🇻🇳,flag Vietnam,1F1FB 1F1F3
🇻🇺,flag Vanuatu,1F1FB 1F1FA
🇼🇫,flag Wallis  Futuna,1F1FC 1F1EB
🇼🇸,flag Samoa,1F1FC 1F1F8
🇽🇰,flag Kosovo,1F1FD 1F1F0
🇾🇪,flag Yemen,1F1FE 1F1EA
🇾🇹,flag Mayotte,1F1FE 1F1F9
🇿🇦,flag South Africa,1F1FF 1F1E6
🇿🇲,flag Zambia,1F1FF 1F1F2
🇿🇼,flag Zimbabwe,1F1FF 1F1FC
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag England,1F3F4 E0067 E0062 E0065 E006E E0067 E007F
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag Scotland,1F3F4 E0067 E0062 E0073 E0063 E0074 E007F
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag Wales,1F3F4 E0067 E0062 E0077 E006C E0073 E007F
🍇,grapes,1F347
🍈,melon,1F348
🍉,watermelon,1F349
🍊,tangerine,1F34A
🍋,lemon,1F34B
🍌,banana,1F34C
🍍,pineapple,1F34D
🥭,mango,1F96D
🍎,red apple,1F34E
🍏,green apple,1F34F
🍐,pear,1F350
🍑,peach,1F351
🍒,cherries,1F352
🍓,strawberry,1F353
🫐,blueberries,1FAD0
🥝,kiwi fruit,1F95D
🍅,tomato,1F345
🫒,olive,1FAD2
🥥,coconut,1F965
🥑,avocado,1F951
🍆,eggplant,1F346
🥔,potato,1F954
🥕,carrot,1F955
🌽,ear of corn,1F33D
🌶️,hot pepper,1F336 FE0F
🌶,hot pepper,1F336
🫑,bell pepper,1FAD1
🥒,cucumber,1F952
🥬,leafy green,1F96C
🥦,broccoli,1F966
🧄,garlic,1F9C4
🧅,onion,1F9C5
🥜,peanuts,1F95C
🫘,beans,1FAD8
🌰,chestnut,1F330
🫚,ginger root,1FADA
🫛,pea pod,1FADB
🍞,bread,1F35E
🥐,croissant,1F950
🥖,baguette bread,1F956
🫓,flatbread,1FAD3
🥨,pretzel,1F968
🥯,bagel,1F96F
🥞,pancakes,1F95E
🧇,waffle,1F9C7
🧀,cheese wedge,1F9C0
🍖,meat on bone,1F356
🍗,poultry leg,1F357
🥩,cut of meat,1F969
🥓,bacon,1F953
🍔,hamburger,1F354
🍟,french fries,1F35F
🍕,pizza,1F355
🌭,hot dog,1F32D
🥪,sandwich,1F96A
🌮,taco,1F32E
🌯,burrito,1F32F
🫔,tamale,1FAD4
🥙,stuffed flatbread,1F959
🧆,falafel,1F9C6
🥚,egg,1F95A
🍳,cooking,1F373
🥘,shallow pan of food,1F958
🍲,pot of food,1F372
🫕,fondue,1FAD5
🥣,bowl with spoon,1F963
🥗,green salad,1F957
🍿,popcorn,1F37F
🧈,butter,1F9C8
🧂,salt,1F9C2
🥫,canned food,1F96B
🍱,bento box,1F371
🍘,rice cracker,1F358
🍙,rice ball,1F359
🍚,cooked rice,1F35A
🍛,curry rice,1F35B
🍜,steaming bowl,1F35C
🍝,spaghetti,1F35D
🍠,roasted sweet potato,1F360
🍢,oden,1F362
🍣,sushi,1F363
🍤,fried shrimp,1F364
🍥,fish cake with swirl,1F365
🥮,moon cake,1F96E
🍡,dango,1F361
🥟,dumpling,1F95F
🥠,fortune cookie,1F960
🥡,takeout box,1F961
🦀,crab,1F980
🦞,lobster,1F99E
🦐,shrimp,1F990
🦑,squid,1F991
🦪,oyster,1F9AA
🍦,soft ice cream,1F366
🍧,shaved ice,1F367
🍨,ice cream,1F368
🍩,doughnut,1F369
🍪,cookie,1F36A
🎂,birthday cake,1F382
🍰,shortcake,1F370
🧁,cupcake,1F9C1
🥧,pie,1F967
🍫,chocolate bar,1F36B
🍬,candy,1F36C
🍭,lollipop,1F36D
🍮,custard,1F36E
🍯,honey pot,1F36F
🍼,baby bottle,1F37C
🥛,glass of milk,1F95B
☕,hot beverage,2615
🫖,teapot,1FAD6
🍵,teacup without handle,1F375
🍶,sake,1F376
🍾,bottle with popping cork,1F37E
🍷,wine glass,1F377
🍸,cocktail glass,1F378
🍹,tropical drink,1F379
🍺,beer mug,1F37A
🍻,clinking beer mugs,1F37B
🥂,clinking glasses,1F942
🥃,tumbler glass,1F943
🫗,pouring liquid,1FAD7
🥤,cup with straw,1F964
🧋,bubble tea,1F9CB
🧃,beverage box,1F9C3
🧉,mate,1F9C9
🧊,ice,1F9CA
🥢,chopsticks,1F962
🍽️,fork and knife with plate,1F37D FE0F
🍽,fork and knife with plate,1F37D
🍴,fork and knife,1F374
🥄,spoon,1F944
🔪,kitchen knife,1F52A
🫙,jar,1FAD9
🏺,amphora,1F3FA
👓,glasses,1F453
🕶️,sunglasses,1F576 FE0F
🕶,sunglasses,1F576
🥽,goggles,1F97D
🥼,lab coat,1F97C
🦺,safety vest,1F9BA
👔,necktie,1F454
👕,t-shirt,1F455
👖,jeans,1F456
🧣,scarf,1F9E3
🧤,gloves,1F9E4
🧥,coat,1F9E5
🧦,socks,1F9E6
👗,dress,1F457
👘,kimono,1F458
🥻,sari,1F97B
🩱,one-piece swimsuit,1FA71
🩲,briefs,1FA72
🩳,shorts,1FA73
👙,bikini,1F459
👚,womans clothes,1F45A
🪭,folding hand fan,1FAAD
👛,purse,1F45B
👜,handbag,1F45C
👝,clutch bag,1F45D
🛍️,shopping bags,1F6CD FE0F
🛍,shopping bags,1F6CD
🎒,backpack,1F392
🩴,thong sandal,1FA74
👞,mans shoe,1F45E
👟,running shoe,1F45F
🥾,hiking boot,1F97E
🥿,flat shoe,1F97F
👠,high-heeled shoe,1F460
👡,womans sandal,1F461
🩰,ballet shoes,1FA70
👢,womans boot,1F462
🪮,hair pick,1FAAE
👑,crown,1F451
👒,womans hat,1F452
🎩,top hat,1F3A9
🎓,graduation cap,1F393
🧢,billed cap,1F9E2
🪖,military helmet,1FA96
⛑️,rescue workers helmet,26D1 FE0F
⛑,rescue workers helmet,26D1
📿,prayer beads,1F4FF
💄,lipstick,1F484
💍,ring,1F48D
💎,gem stone,1F48E
🔇,muted speaker,1F507
🔈,speaker low volume,1F508
🔉,speaker medium volume,1F509
🔊,speaker high volume,1F50A
📢,loudspeaker,1F4E2
📣,megaphone,1F4E3
📯,postal horn,1F4EF
